age	gender	daily.views
42	Male	23.9
29	Female	75
53	Female	1.3
45	Female	118.8
46	Male	1.3
19	Male	1.9
17	Female	1.9
9	Male	2.6
56	Female	239.3
39	Female	106.6
49	Female	10.7
60	Female	222.6
34	Female	51.5
35	Male	6.9
52	Female	29.3
56	Male	6.7
35	Female	3.6
25	Male	95.1
54	Male	167.7
54	Female	7.8
56	Male	30.1
50	Female	60.7
49	Male	5.7
16	Female	5.8
67	Male	125
43	Female	14.8
41	Female	18.8
84	Female	13.3
39	Female	21.5
52	Female	36.7
47	Female	37.1
49	Female	30.1
50	Male	3
18	Male	11.9
49	Female	75.2
70	Male	99.3
69	Female	21.4
48	Female	13.9
61	Male	0.1
48	Female	1.5
65	Female	164.7
29	Male	82.4
51	Female	114.7
42	Female	147
64	Female	29
62	Male	479
59	Female	1.5
59	Female	252.6
30	Male	40
71	Male	54.3
42	Female	94.7
70	Male	62.6
49	Male	8.5
45	Female	227.8
16	Female	2.8
14	Female	3.9
61	Female	60.9
61	Male	336.4
62	Female	118.5
64	Female	48.7
54	Male	28.4
47	Female	74.8
54	Female	1.8
56	Male	32.5
26	Female	2.3
56	Female	40.6
39	Female	173.6
48	Female	553.7
51	Female	6.3
39	Male	115.6
52	Female	6
29	Male	153.2
56	Female	65.1
46	Female	43.7
51	Male	14.9
57	Female	29.1
36	Male	17.3
60	Female	30.1
39	Female	12.1
35	Female	103.6
60	Female	17.7
56	Female	12.1
58	Male	0.9
42	Female	70.4
34	Female	22.9
15	Female	35.2
28	Female	5.1
32	Male	0.7
44	Male	0.7
64	Female	197.3
40	Female	1.8
17	Male	30.4
20	Male	140.3
64	Male	260.9
57	Female	17
38	Female	165.6
39	Female	78.8
64	Female	21
36	Female	98.9
37	Female	20.3
46	Male	10.9
41	Female	67.5
37	Female	310.6
53	Female	38.8
40	Male	4.4
50	Female	88.1
32	Female	321.8
32	Female	188.4
40	Male	23.4
12	Female	8.8
49	Male	39.5
31	Female	417.3
47	Female	14.7
51	Male	96.4
52	Female	28.7
67	Female	14.5
46	Female	2.9
15	Female	9.2
56	Female	51.2
57	Female	20
47	Female	85.1
51	Male	0.9
24	Male	6.1
13	Male	0.9
22	Female	36.6
51	Female	39.1
56	Female	69.5
58	Male	37.8
58	Male	85.7
51	Female	18.3
45	Female	190.5
83	Male	12.3
63	Female	48.2
51	Female	16
20	Female	1.1
56	Female	91.3
29	Female	2.4
26	Female	5.5
47	Female	391.2
30	Female	148.9
39	Female	95.8
40	Male	23.8
56	Female	20.1
57	Male	0.7
42	Female	13.6
21	Female	2
45	Female	277.1
47	Male	40.8
15	Male	40.8
13	Male	24.7
7	Female	28.7
57	Male	27.1
56	Female	10.8
28	Female	145.9
26	Male	0.7
75	Female	20.3
30	Female	0.9
66	Female	165.6
21	Female	35.9
27	Female	105
36	Male	2.1
60	Female	162.2
49	Female	241.7
12	Female	19.3
50	Female	30.9
29	Male	82.7
53	Female	100.7
50	Female	60.6
55	Female	44.6
66	Male	29.7
51	Male	162
47	Female	37
57	Male	4.9
55	Female	38.7
30	Male	23.4
68	Female	140.9
61	Male	10.6
62	Female	19.6
64	Female	44.3
67	Male	12.8
53	Male	3.1
49	Female	189.3
47	Male	34.3
44	Female	66.2
42	Male	12.7
60	Female	28.7
53	Female	156.8
20	Female	242.7
30	Male	26.4
29	Male	28.2
51	Female	97.9
20	Male	63.6
31	Female	179.2
82	Male	41.3
78	Female	2.5
57	Female	32.7
35	Female	32.1
43	Male	0.5
64	Male	5.9
60	Female	0.5
19	Female	1.6
17	Female	5.3
10	Female	0.6
62	Female	133.7
49	Female	39.4
29	Female	35.9
28	Male	1.3
65	Female	208.6
24	Female	59.8
50	Female	6.1
56	Female	2
26	Male	1.1
60	Female	170.2
30	Female	146
39	Female	214
42	Male	0.9
41	Female	215
39	Male	37.2
69	Female	26.2
57	Male	4.5
58	Male	0.8
59	Male	0.3
69	Male	92.8
46	Female	26.5
36	Female	402.6
40	Female	145.3
51	Female	158.3
54	Female	5.5
85	Male	23.9
27	Female	74
50	Male	201.8
53	Female	248.1
35	Female	133.5
24	Female	73.4
46	Female	6.2
26	Female	0.9
27	Female	274.1
15	Female	11.3
51	Female	81.5
63	Male	6.4
26	Female	10.4
26	Male	0.2
57	Female	19.3
51	Female	257
27	Male	25.8
25	Male	7.5
19	Male	53.7
18	Female	57.5
16	Male	10.5
14	Female	38.8
55	Male	113.3
48	Female	27
76	Male	2.8
47	Female	41.7
26	Male	26.7
55	Female	10
30	Female	120.3
33	Female	44.2
48	Female	74.3
42	Female	3.7
55	Female	55.4
40	Male	293.4
67	Female	196
53	Female	459.5
51	Female	4.4
33	Female	8.5
62	Female	22.7
70	Female	17
58	Male	10.6
48	Female	13.8
55	Male	1.2
19	Male	0.8
47	Female	8.1
57	Female	7.6
53	Female	38.4
29	Female	264.1
34	Female	61.6
61	Female	15.6
29	Female	97.5
27	Female	83.6
30	Male	10.1
69	Female	6.2
56	Male	105.7
44	Female	32
59	Male	20.4
60	Female	8.2
27	Female	1.3
60	Female	112.9
42	Female	20.4
49	Male	430.9
37	Male	83.8
65	Male	15.4
30	Female	28.2
35	Male	2
62	Female	102.3
41	Female	479
50	Male	19.6
9	Male	9.1
42	Female	52.7
29	Female	126.6
55	Female	39.1
54	Male	291.5
30	Male	41.6
26	Male	105.1
59	Male	38.2
29	Male	299.3
54	Female	125.9
57	Female	37.6
31	Female	13.7
8	Male	4
56	Female	79
73	Female	69.1
59	Male	91.4
53	Female	102
54	Female	22.9
67	Female	84.9
55	Female	69.1
61	Female	9.4
56	Female	5.4
46	Female	109.5
18	Female	5.2
14	Female	7.3
76	Male	50.8
62	Female	112.6
20	Female	147.8
21	Male	23.1
53	Female	2.9
49	Male	24.8
29	Female	81.2
28	Female	173.1
77	Male	36.1
39	Female	59.2
27	Male	267.9
62	Female	17.6
45	Female	53.5
41	Male	5.1
64	Female	78.5
49	Female	22
47	Female	11.3
17	Female	5.4
59	Female	26.4
28	Male	10
30	Female	2.4
51	Male	0.1
67	Female	147.9
65	Male	33.8
61	Female	4.3
27	Male	43.3
41	Female	65.4
25	Female	53.1
48	Male	9.8
62	Female	28.2
58	Male	6.4
55	Female	49.8
39	Female	121.3
49	Male	7.1
62	Male	339.2
27	Female	9.7
47	Female	28.6
59	Female	0.8
51	Female	8.1
51	Male	2.9
37	Female	60.1
39	Male	11.2
37	Female	70.8
36	Male	12.5
34	Female	3
30	Female	25.1
45	Female	9.9
53	Female	153.4
36	Female	7.2
35	Male	0.8
15	Female	77.1
47	Female	72.4
37	Female	126.4
14	Female	105.1
13	Male	252
4	Male	25.5
52	Female	76
24	Female	24.3
51	Female	162.3
38	Female	339.3
28	Male	225.1
9	Female	73.5
53	Male	200.2
54	Female	8.3
48	Female	102.7
56	Female	129.5
57	Female	89
70	Male	103.5
42	Female	356
52	Female	44.5
56	Male	49.2
49	Female	30.7
63	Male	388.6
54	Female	693.5
75	Female	33.3
59	Female	121.6
53	Male	556.1
63	Male	1.7
59	Female	30.8
23	Female	1
81	Male	17.6
41	Male	28.6
37	Female	375.9
45	Male	19.6
57	Female	478
37	Female	24
55	Female	53.5
42	Female	505.3
42	Male	16.1
12	Male	7.6
10	Male	51.9
6	Male	18.1
31	Male	7.4
62	Male	45.4
58	Male	708
66	Female	129.1
38	Female	78.4
46	Female	257.8
48	Female	184.2
49	Female	130.7
55	Male	12.8
24	Female	77.5
53	Female	144.9
50	Female	277.3
50	Male	221.2
45	Male	474.7
46	Male	342.4
55	Male	164.6
53	Female	4.2
39	Female	61.4
59	Female	75.6
32	Female	9.7
66	Female	312.4
70	Male	27.8
46	Female	35.7
46	Male	3.6
33	Female	134.6
55	Male	178.9
49	Female	6.4
69	Male	116.3
68	Female	1.6
40	Female	199.4
43	Male	1.9
5	Male	8.1
52	Female	252.6
62	Female	130.7
53	Male	125.7
46	Male	64.8
48	Female	1.1
15	Female	0.7
7	Male	3.6
31	Male	29.1
36	Female	132.6
61	Female	1.1
58	Female	153
67	Female	35.2
29	Male	211.2
27	Female	209.2
33	Female	258.4
59	Female	36.7
68	Male	96.7
57	Female	13.2
54	Female	278.9
44	Male	246.9
51	Female	182.3
31	Female	86.1
16	Male	4.5
11	Male	2.6
44	Male	1.3
42	Female	7.4
15	Female	130.4
36	Female	221.2
27	Female	221.1
67	Female	20.7
57	Female	43.3
48	Female	250.8
49	Male	38.8
22	Male	23.3
15	Female	100.3
50	Female	87
60	Male	85.9
57	Female	114.2
46	Female	244.7
53	Male	300.5
33	Female	240.4
50	Female	5.6
52	Female	49.2
66	Female	161.7
55	Female	61.6
48	Female	110.8
63	Female	20.4
66	Male	49.7
26	Female	26.6
25	Male	0.6
55	Female	147.8
34	Female	555.9
59	Male	208
47	Female	226.9
68	Male	48.5
63	Female	7.5
70	Male	75.6
49	Female	101.6
31	Female	94.1
45	Male	45.5
38	Male	665.4
52	Female	203.8
57	Male	1.1
9	Female	2.6
25	Female	218.9
71	Male	117.4
37	Female	176.8
26	Female	0.7
44	Female	502.8
57	Female	659.3
